"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000001","2024-09-04","01:40:21",2024,10,"MACH00002","Machine 2","MODEL-3308","Hydraulic Press","ABB","FAC02","Factory 2","LINE002","Assembly Line 2","29.2","52.2","4.27","31.59",3101,"46.16","Idle","98.78","No","70.08",12,5,2,2230,"E002","Error condition E002","2024-10-16","2024-05-28"
"LOG00000001","04-09-2024","01:40:21",2024,10,"MACH00002","Machine 2","MODEL-3308","Hydraulic Press","ABB","FAC02","Factory 2","LINE002","Assembly Line 2","29.2","52.2","4.27","31.59",3101,"46.16","Idle","98.78","No","70.08",12,5,2,2230,"E002","Error condition E002","16-10-2024","28-05-2024"
"LOG00000002","2024-07-15","21:06:26",2024,4,"MACH00003","Machine 3","MODEL-3540","Conveyor","Fanuc","FAC03","Factory 3","LINE003","Assembly Line 3","75.6","67.7","4.98","22.47",6951,"38.77","Maintenance","55.06","Yes","63.52",3,4,11,5638,"E003","Error condition E003","2024-03-12","2024-03-15"
"LOG00000003","2024-10-23","03:42:16",2024,7,"MACH00004","Machine 4","MODEL-5546","Robot Arm","KUKA","FAC04","Factory 4","LINE004","Assembly Line 4","46.4","32.7","8.48","0.61",8667,"6.97","Error","52.76","Yes","91.76",2,0,10,5262,"E004","Error condition E004","2024-05-08","2024-06-05"
"LOG00000004","2024-04-25","00:28:06",2024,8,"MACH00005","Machine 5","MODEL-5658","Welder","Bosch","FAC05","Factory 5","LINE005","Assembly Line 5","28.3","66.9","9.81","10.71",428,"49.22","Stopped","67.78","Yes","69.57",16,11,24,5761,"E005","Error condition E005","2024-02-26","2024-10-09"
"LOG00000005","2024-09-11","05:14:55",2024,5,"MACH00006","Machine 6","MODEL-7886","Drill","Mitsubishi","FAC06","Factory 6","LINE006","Assembly Line 6","51.4","44.4","5.02","38.99",1014,"45.72","Running","68.98","Yes","72.2",13,19,9,6069,"None","No errors","2024-11-21","2024-10-12"
"LOG00000006","2024-04-22","20:07:51",2024,11,"MACH00007","Machine 7","MODEL-THREEFOURFIVEFOUR","Lathe","Yaskawa","FAC07","Factory 7","LINE007","Assembly Line 7","79.7","68.3","7.64","18.94",4918,"6.03","Idle","82.71","No","68.11",21,11,19,6567,"E001","Error condition E001","2024-06-25","2024-12-10"
"LOG00000007","2024-11-20","22:20:02",2024,7,"MACH00008","Machine 8","MODEL-6593","Compressor","Omron","FAC08","Factory 8","LINE008","Assembly Line 8","31","56.5","5.83","8.86",8290,"48","Maintenance","58.4","Yes","71.38",2,18,10,7505,"E002","Error condition E002","2024-05-03","2024-10-13"
"LOG00000008","2024-06-10","06:57:24",2024,8,"MACH00009","Machine 9","MODEL-8090","CNC Machine","Siemens","FAC01","Factory 1","LINE009","Assembly Line 9","61.4","31","9.16","48.12",6325,"49.22","Error","73.94","No","82.03",5,12,20,609,"E003","Error condition E003","2024-10-04","2024-02-27"
"LOG00000009","2024-12-05","10:26:22",2024,2,"MACH00010","Machine 10","MODEL-9826","Hydraulic Press","ABB","FAC02","Factory 2","LINE010","Assembly Line 10","72.7","36.4","3.43","47.51",2574,"2.9","Stopped","91.96","No","82.41",2,0,13,5544,"E004","Error condition E004","2024-02-02","2024-08-01"
"LOG00000010","2024-08-07","18:19:28",2024,4,"MACH00011","Machine 11","MODEL-6824","Conveyor","Fanuc","FAC03","Factory 3","LINE011","Assembly Line 11","61.3","72.1","4.8","33.57",5764,"0.57","Running","58.76","Yes","84.5",1,14,7,5973,"E005","Error condition E005","2024-12-22","2024-08-21"
"LOG00000011","2024-10-07","07:38:10",2024,1,"MACH00012","Machine 12","MODEL-6174","Robot Arm","KUKA","FAC04","Factory 4","LINE012","Assembly Line 12","31.8","44.4","9.79","16.65",4861,"41.35","Idle","55.79","Yes","92",10,3,14,8554,"None","No errors","2024-09-13","2024-09-27"
"LOG00000012","2024-08-28","09:43:12",2024,4,"MACH00013","Machine 13","MODEL-2817","Welder","Bosch","FAC05","Factory 5","LINE013","Assembly Line 13","30.9","77.5","2.3","40.68",9946,"33.94","Maintenance","90.79","No","65.64",1,10,14,8495,"E001","Error condition E001","2024-05-26","2024-12-21"
"LOG00000013","2024-11-02","03:37:43",2024,10,"MACH00014","Machine 14","MODEL-8684","Drill","Mitsubishi","FAC06","Factory 6","LINE014","Assembly Line 14","60.8","46.1","0.58","46.7",4739,"44.07","Error","76.78","No","68.31",19,21,2,9849,"E002","Error condition E002","2024-07-16","2024-12-28"
"LOG00000014","2024-09-23","14:34:57",2024,1,"MACH00015","Machine 15","MODEL-7187","Lathe","Yaskawa","FAC07","Factory 7","LINE015","Assembly Line 15","37.7","63.3","4.6","33.53",9060,"48.13","Stopped","63","Yes","99.62",0,1,22,4696,"E003","Error condition E003","2024-01-24","2024-02-22"
"LOG00000015","2024-01-04","16:36:04",2024,7,"MACH00016","Machine 16","MODEL-3542","Compressor","Omron","FAC08","Factory 8","LINE016","Assembly Line 16","28.4","61.2","0.53","20.05",2187,"27.99","Running","74.72","No","72.93",12,17,24,5321,"E004","Error condition E004","2024-11-20","2024-04-28"
"LOG00000016","2024-05-14","04:26:03",2024,3,"MACH00017","Machine 17","MODEL-4017","CNC Machine","Siemens","FAC01","Factory 1","LINE017","Assembly Line 17","36.6","50.4","9.39","31.04",5910,"26.96","Idle","53.51","Yes","60.27",15,23,6,9659,"E005","Error condition E005","2024-12-18","2024-08-17"
"LOG00000017","2024-03-20","09:38:53",2024,10,"MACH00018","Machine 18","MODEL-4550","Hydraulic Press","ABB","FAC02","Factory 2","LINE018","Assembly Line 18","24.7","73.7","6.87","11.62",822,"37.36","Maintenance","78.06","No","60.5",8,19,17,2160,"None","No errors","2024-02-18","2024-05-06"
"LOG00000018","2024-05-07","20:46:01",2024,2,"MACH00019","Machine 19","MODEL-9592","Conveyor","Fanuc","FAC03","Factory 3","LINE019","Assembly Line 19","49.3","47.4","4.32","6.69",6253,"30.1","Error","69.18","Yes","98.05",16,10,15,1008,"E001","Error condition E001","2024-05-01","2024-06-25"
"LOG00000019","2024-09-26","14:11:35",2024,6,"MACH00020","Machine 20","MODEL-7901","Robot Arm","KUKA","FAC04","Factory 4","LINE020","Assembly Line 20","60.8","31.9","0.91","33.07",2803,"24.43","Stopped","72.58","No","99.67",14,12,5,1363,"E002","Error condition E002","2024-12-17","2024-09-26"
"LOG00000020","2024-01-04","06:42:39",2024,9,"MACH00021","Machine 21","MODEL-2132","Welder","Bosch","FAC05","Factory 5","LINE021","Assembly Line 21","35.1","78.5","8.25","30.9",4100,"14.22","Running","51.05","Yes","78.36",0,24,22,5256,"E003","Error condition E003","2024-06-24","2024-03-01"
"LOG00000021","2024-11-26","16:10:52",2024,6,"MACH00022","Machine 22","MODEL-2996","Drill","Mitsubishi","FAC06","Factory 6","LINE022","Assembly Line 22","41.7","74.3","0.86","28.78",5983,"27.28","Idle","61.07","Yes","77.31",20,19,13,738,"E004","Error condition E004","2024-12-12","2024-08-15"
"LOG00000022","2024-12-11","12:22:39",2024,2,"MACH00023","Machine 23","MODEL-6822","Lathe","Yaskawa","FAC07","Factory 7","LINE023","Assembly Line 23","52.4","61.9","1.52","38.63",2779,"5.41","Maintenance","87.49","No","99.91",14,24,6,6309,"E005","Error condition E005","2024-11-06","2024-09-16"
"LOG00000023","2024-05-17","23:25:55",2024,9,"MACH00024","Machine 24","MODEL-8478","Compressor","Omron","FAC08","Factory 8","LINE024","Assembly Line 24","74.8","42.2","0.84","37.74",677,"33.88","Error","91.36","No","89.66",6,19,20,3665,"None","No errors","2024-08-26","2024-10-10"
"LOG00000024","2024-04-25","23:39:24",2024,6,"MACH00025","Machine 25","MODEL-8194","CNC Machine","Siemens","FAC01","Factory 1","LINE025","Assembly Line 25","48","31.3","8.44","45.49",7361,"47.66","Stopped","65.24","Yes","75.92",5,22,13,3990,"E001","Error condition E001","2024-04-04","2024-12-18"
"LOG00000025","2024-11-05","11:51:33",2024,5,"MACH00026","Machine 26","MODEL-4660","Hydraulic Press","ABB","FAC02","Factory 2","LINE026","Assembly Line 26","71.1","39.7","1.29","23.26",8882,"20.72","Running","94.07","No","86.06",7,22,1,302,"E002","Error condition E002","2024-04-03","2024-06-26"
"LOG00000026","2024-05-12","23:44:50",2024,8,"MACH00027","Machine 27","MODEL-3357","Conveyor","Fanuc","FAC03","Factory 3","LINE027","Assembly Line 27","77.4","33.6","8.78","3.83",6540,"17.84","Idle","65.59","Yes","95.61",7,16,11,2454,"E003","Error condition E003","2024-05-23","2024-05-17"
"LOG00000027","2024-05-16","07:38:57",2024,12,"MACH00028","Machine 28","MODEL-1519","Robot Arm","KUKA","FAC04","Factory 4","LINE028","Assembly Line 28","40.9","41.5","0.9","25.22",8014,"18.13","Maintenance","76.7","No","86.61",1,22,20,4479,"E004","Error condition E004","2024-06-18","2024-05-28"
"LOG00000028","2024-07-17","13:48:52",2024,7,"MACH00029","Machine 29","MODEL-2972","Welder","Bosch","FAC05","Factory 5","LINE029","Assembly Line 29","21.9","68.8","6.69","4.67",9284,"6.71","Error","57.46","Yes","80.23",20,23,10,3744,"E005","Error condition E005","2024-02-20","2024-06-03"
"LOG00000029","2024-04-11","10:06:30",2024,8,"MACH00030","Machine 30","MODEL-7451","Drill","Mitsubishi","FAC06","Factory 6","LINE030","Assembly Line 30","43.3","43.8","1.3","39.03",4600,"25.76","Stopped","93.78","No","96.58",17,24,16,7152,"None","No errors","2024-11-26","2024-03-16"
"LOG00000030","2024-05-15","07:03:55",2024,4,"MACH00031","Machine 31","MODEL-4703","Lathe","Yaskawa","FAC07","Factory 7","LINE001","Assembly Line 1","74.3","65.2","7.17","47.88",4908,"44.01","Running","65.87","Yes","75.25",13,15,20,5977,"E001","Error condition E001","2024-01-19","2024-06-14"
"LOG00000031","2024-05-23","08:37:53",2024,3,"MACH00032","Machine 32","MODEL-3529","Compressor","Omron","FAC08","Factory 8","LINE002","Assembly Line 2","43.9","41.1","5.36","35.12",5314,"48.11","Idle","72.38","No","70.93",8,7,18,4482,"E002","Error condition E002","2024-12-11","2024-03-01"
"LOG00000032","2024-08-04","10:45:23",2024,2,"MACH00033","Machine 33","MODEL-7280","CNC Machine","Siemens","FAC01","Factory 1","LINE003","Assembly Line 3","54.9","70.5","9.26","11.66",4286,"46.39","Maintenance","92.39","No","70.91",14,15,4,8389,"E003","Error condition E003","2024-07-09","2024-10-20"
"LOG00000033","2024-09-08","22:08:53",2024,5,"MACH00034","Machine 34","MODEL-7036","Hydraulic Press","ABB","FAC02","Factory 2","LINE004","Assembly Line 4","66.2","45.5","3.96","39.63",3736,"12.16","Error","68.16","Yes","68.38",17,14,20,8820,"E004","Error condition E004","2024-04-20","2024-05-13"
"LOG00000034","2024-06-22","07:17:35",2024,8,"MACH00035","Machine 35","MODEL-6319","Conveyor","Fanuc","FAC03","Factory 3","LINE005","Assembly Line 5","28.9","35.6","9.95","24.61",3388,"0.96","Stopped","96.3","No","90.42",19,21,6,4587,"E005","Error condition E005","2024-12-25","2024-05-19"
"LOG00000035","2024-08-21","19:09:59",2024,3,"MACH00036","Machine 36","MODEL-4289","Robot Arm","KUKA","FAC04","Factory 4","LINE006","Assembly Line 6","47.4","63.1","3.94","20.36",2637,"28.02","Running","74.78","No","64.64",23,12,14,4375,"None","No errors","2024-02-16","2024-06-10"
"LOG00000036","2024-11-22","23:31:32",2024,2,"MACH00037","Machine 37","MODEL-5463","Welder","Bosch","FAC05","Factory 5","LINE007","Assembly Line 7","34.9","34.3","2.76","44.79",249,"37.53","Idle","73.54","No","95.96",18,8,4,5480,"E001","Error condition E001","2024-08-03","2024-02-05"
"LOG00000037","2024-11-11","13:35:34",2024,12,"MACH00038","Machine 38","MODEL-3810","Drill","Mitsubishi","FAC06","Factory 6","LINE008","Assembly Line 8","77.4","39.3","8.52","43.01",8232,"37.4","Maintenance","54.71","Yes","92.02",8,15,3,7785,"E002","Error condition E002","2024-08-06","2024-05-15"
"LOG00000038","2024-07-12","20:59:56",2024,5,"MACH00039","Machine 39","MODEL-9661","Lathe","Yaskawa","FAC07","Factory 7","LINE009","Assembly Line 9","33.4","65.3","3.91","46.25",2418,"19.01","Error","69.29","Yes","85.79",24,6,6,1089,"E003","Error condition E003","2024-10-07","2024-09-15"
"LOG00000039","2024-07-01","12:57:26",2024,8,"MACH00040","Machine 40","MODEL-6692","Compressor","Omron","FAC08","Factory 8","LINE010","Assembly Line 10","51.4","35.4","1.3","33.11",5745,"30.12","Stopped","96.49","No","86.66",11,12,20,7067,"E004","Error condition E004","2024-07-21","2024-08-27"
"LOG00000040","2024-04-01","21:09:50",2024,9,"MACH00041","Machine 41","MODEL-8087","CNC Machine","Siemens","FAC01","Factory 1","LINE011","Assembly Line 11","46.4","46.6","2.25","9.37",5918,"45.2","Running","66.36","Yes","98.93",2,3,7,6173,"E005","Error condition E005","2024-10-19","2024-12-25"
"LOG00000041","2024-09-07","11:52:03",2024,6,"MACH00042","Machine 42","MODEL-4589","Hydraulic Press","ABB","FAC02","Factory 2","LINE012","Assembly Line 12","53.1","53.9","8.87","34.2",8344,"45.99","Idle","78.51","No","72.89",19,15,24,427,"None","No errors","2024-11-26","2024-11-22"
"LOG00000042","2024-07-06","21:44:44",2024,9,"MACH00043","Machine 43","MODEL-4717","Conveyor","Fanuc","FAC03","Factory 3","LINE013","Assembly Line 13","75.8","62.6","1.59","21.48",7574,"6.87","Maintenance","50.99","Yes","81.27",5,0,12,5490,"E001","Error condition E001","2024-06-17","2024-05-22"
"LOG00000043","2024-05-08","05:27:01",2024,9,"MACH00044","Machine 44","MODEL-6951","Robot Arm","KUKA","FAC04","Factory 4","LINE014","Assembly Line 14","73.9","32.7","8.1","25.5",489,"29.84","Error","97.72","No","81.65",19,1,10,4666,"E002","Error condition E002","2024-12-09","2024-06-23"
"LOG00000044","2024-03-27","23:37:57",2024,10,"MACH00045","Machine 45","MODEL-7537","Welder","Bosch","FAC05","Factory 5","LINE015","Assembly Line 15","46.4","43.3","1.65","21.45",2574,"36.55","Stopped","78.83","No","85.96",14,13,13,5244,"E003","Error condition E003","2024-10-21","2024-09-20"
"LOG00000045","2024-11-05","01:39:48",2024,12,"MACH00046","Machine 46","MODEL-3792","Drill","Mitsubishi","FAC06","Factory 6","LINE016","Assembly Line 16","50.5","53.8","1.54","7.51",9278,"44.63","Running","72.26","No","88.01",23,17,2,6054,"E004","Error condition E004","2024-10-05","2024-02-17"
"LOG00000046","2024-11-06","03:24:38",2024,11,"MACH00047","Machine 47","MODEL-7099","Lathe","Yaskawa","FAC07","Factory 7","LINE017","Assembly Line 17","40","53","4.27","38.53",1006,"7.33","Idle","92.04","No","93.23",7,15,0,8731,"E005","Error condition E005","2024-04-01","2024-08-10"
"LOG00000047","2024-11-23","13:06:49",2024,9,"MACH00048","Machine 48","MODEL-3219","Compressor","Omron","FAC08","Factory 8","LINE018","Assembly Line 18","63.1","30.2","1.47","39.54",5901,"47.29","Maintenance","61.05","Yes","74.87",8,1,8,1173,"None","No errors","2024-03-10","2024-05-08"
"LOG00000048","2024-06-01","04:41:40",2024,1,"MACH00049","Machine 49","MODEL-7622","CNC Machine","Siemens","FAC01","Factory 1","LINE019","Assembly Line 19","79.4","79.4","5.68","40.13",9417,"16.82","Error","70.09","No","72.74",20,6,20,923,"E001","Error condition E001","2024-08-04","2024-12-03"
"LOG00000049","2024-09-20","08:58:03",2024,7,"MACH00050","Machine 50","MODEL-2867","Hydraulic Press","ABB","FAC02","Factory 2","LINE020","Assembly Line 20","41.3","39.4","3.35","0.83",6467,"5.91","Stopped","54.15","Yes","97.6",17,5,19,2385,"E002","Error condition E002","2024-11-12","2024-10-21"
