"inspection_id","inspection_date","inspection_time","year","month","order_id","product_id","product_name","batch_number","inspector_id","inspector_name","inspectordepartment","department","factory_id","factory_name","assembly_line_id","assembly_line_name","quantity_inspected","quantity_defective","defect_rate","sample_size","defect_type","defect_code","defect_severity","defect_description","dimension1","dimension2","weight","visual_quality","functional_test","inspection_status","inspection_result","rework_required","approved","approvedby","notes","photopath"
"INSP00000001","2024-06-23","08:53",2024,8,"ORD00000569","PROD000002","Product 2","BATCH00001","INS0002","Inspector 2","Quality Control","QC Department","FAC02","Factory 2","LINE002","Assembly Line 2",4249,63,"1.48",3943,"Dent","D002","Major","Dent found in batch","28.47","69.94","14.89","Good","Pass","In Progress","Failed","Yes","No",NULL,"Inspection completed - 1.48% defect rate","photo_INSP00000001.jpg"
"INSP00000001","23-06-2024","08:53",2024,8,"ORD00000569","PROD000002","Product 2","BATCH00001","INS0002","Inspector 2","Quality Control","QC Department","FAC02","Factory 2","LINE002","Assembly Line 2",4249,63,"1.48",3943,"Dent","D002","Major","Dent found in batch","28.47","69.94","14.89","Good","Pass","In Progress","Failed","Yes","No",NULL,"Inspection completed - 1.48% defect rate","photo_INSP00000001.jpg"
"INSP00000002","2024-07-24","08:52",2024,8,"ORD00000470","PROD000003","Product 3","BATCH00002","INS0003","Inspector 3","Quality Control","QC Department","FAC03","Factory 3","LINE003","Assembly Line 3",5367,87,"1.62",2905,"Discoloration","D003","Minor","Discoloration found in batch","84.2","98.14","48.71","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.62% defect rate","photo_INSP00000002.jpg"
"INSP00000003","2024-12-14","12:08",2024,10,"ORD00000837","PROD000004","Product 4","BATCH00003","INS0004","Inspector 4","Quality Control","QC Department","FAC04","Factory 4","LINE004","Assembly Line 4",1863,44,"2.36",1219,"Misalignment","D004","Cosmetic","Misalignment found in batch","59.7","67.52","14.1","Good","Pass","On Hold","Pending","No","No","null","Inspection completed - 2.36% defect rate","null"
"INSP00000004","2024-12-09","15:19",2024,6,"ORD00000543","PROD000005","Product 5","BATCH00004","INS0005","Inspector 5","Quality Control","QC Department","FAC05","Factory 5","LINE005","Assembly Line 5",1192,67,"5.62",603,"Missing Part","D005","None","Missing Part found in batch","72.73","24.18","11.37","Fair","Fail","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 5.62% defect rate","photo_INSP00000004.jpg"
"INSP00000005","2024-02-02","16:58",2024,8,"ORD00000243","PROD000006","Product 6","BATCH00005","INS0006","Inspector 6","Quality Control","QC Department","FAC06","Factory 6","LINE006","Assembly Line 6",7574,29,"0.38",4480,"Malfunction","D006","Critical","Malfunction found in batch","70.1","69.76","18.23","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.38% defect rate","photo_INSP00000005.jpg"
"INSP00000006","2024-04-20","08:33",2024,5,"ORD00000010","PROD000007","Product 7","BATCH00006","INS0007","Inspector 7","Quality Control","QC Department","FAC07","Factory 7","LINE007","Assembly Line 7",4180,54,"1.29",3318,"Dimension Error","D007","Major","Dimension Error found in batch","44.48","26.2","18.61","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.29% defect rate","null"
"INSP00000007","2024-04-27","15:03",2024,9,"ORD00000060","PROD000008","Product 8","BATCH00007","INS0008","Inspector 8","Quality Control","QC Department","FAC08","Factory 8","LINE008","Assembly Line 8",4513,72,"1.6",2355,"None","D000","Minor","None found in batch","34.15","68.82","40.41","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.6% defect rate","null"
"INSP00000008","2024-07-16","14:58",2024,5,"ORD00000472","PROD000009","Product 9","BATCH00008","INS0009","Inspector 9","Quality Control","QC Department","FAC01","Factory 1","LINE009","Assembly Line 9",1479,65,"4.39",458,"Crack","D001","Cosmetic","Crack found in batch","46.74","29.53","8.59","Good","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 4.39% defect rate","photo_INSP00000008.jpg"
"INSP00000009","2024-06-11","12:03",2024,5,"ORD00000329","PROD000010","Product 10","BATCH00009","INS0010","Inspector 10","Quality Control","QC Department","FAC02","Factory 2","LINE010","Assembly Line 10",8231,38,"0.46",5802,"Dent","D002","None","Dent found in batch","43.18","16.62","45.7","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.46% defect rate","null"
"INSP00000010","2024-10-22","08:44",2024,2,"ORD00000025","PROD000011","Product 11","BATCH00010","INS0011","Inspector 11","Quality Control","QC Department","FAC03","Factory 3","LINE011","Assembly Line 11",9183,93,"1.01",2933,"Discoloration","D003","Critical","Discoloration found in batch","22.23","72.61","43.63","Good","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.01% defect rate","null"
"INSP00000011","2024-02-05","09:34",2024,3,"ORD00000554","PROD000012","Product 12","BATCH00011","INS0012","Inspector 12","Quality Control","QC Department","FAC04","Factory 4","LINE012","Assembly Line 12",9564,86,"0.9",853,"Misalignment","D004","Major","Misalignment found in batch","27.22","15.18","45.52","Fair","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.9% defect rate","null"
