"inventoryid","inventorydate","year","month","partid","partname","partcode","partcategory","partdescription","supplierid","suppliername","suppliercity","suppliercountry","supplierrating","warehouseid","warehousename","warehouselocation","warehousecity","quantityonhand","quantityreserved","quantitydamaged","availablequantity","reorderlevel","reorderquantity","leadtimedays","unitcost","totalcost","supplierleadtime","receivedate","invoicenumber","invoiceamount","status","expirydate","storagelocation","laststockupdate","notes"
"INV00000001","2024-08-18",2024,7,"PART000002","Part 2","PC259518","Component","Essential component Part 2","SUP0002","Supplier 2","Delhi","India","3.43","WH02","Warehouse 2","South","Delhi",48225,22645,57,25523,909,4023,49,"582.52","14867657.96",54,"2024-07-24","INV987818","87348.98","Low Stock",NULL,"Rack-25","2024-06-03","Stock level: 48225 units, Supplier rating: 3.43"
"INV00000001","18-08-2024",2024,7,"PART000002","Part 2","PC259518","Component","Essential component Part 2","SUP0002","Supplier 2","Delhi","India","3.43","WH02","Warehouse 2","South","Delhi",48225,22645,57,25523,909,4023,49,"582.52","14867657.96",54,"24-07-2024","INV987818","87348.98","Low Stock",NULL,"Rack-25","03-06-2024","Stock level: 48225 units, Supplier rating: 3.43"
"INV00000002","2024-07-26",2024,3,"PART000003","Part 3","PC239745","Subassembly","Essential component Part 3","SUP0003","Supplier 3","Bangalore","India","4.86","WH03","Warehouse 3","East","Bangalore",11185,3884,386,6915,1871,16431,10,"833.87","5766211.05",88,"2024-01-24","INV559364","82099.11","Out of Stock","null","Rack-85","2024-09-15","Stock level: 11185 units, Supplier rating: 4.86"
"INV00000003","2024-04-16",2024,9,"PART000004","Part 4","PC352064","Tool","Essential component Part 4","SUP0004","Supplier 4","Pune","India","2.89","WH04","Warehouse 4","West","Pune",18219,16387,112,1720,2389,18245,36,"732.73","1260295.6",61,"2024-11-23","INV956827","49124.97","Discontinued","null","Rack-49","2024-01-26","Stock level: 18219 units, Supplier rating: 2.89"
"INV00000004","2024-04-21",2024,1,"PART000005","Part 5","PC873069","Packaging","Essential component Part 5","SUP0005","Supplier 5","Hyderabad","India","3.46","WH05","Warehouse 5","Central","Hyderabad",37645,8882,239,28524,3616,10370,5,"565.97","16143728.28",54,"2024-07-01","INV484607","22223.49","On Order","null","Rack-86","2024-04-12","Stock level: 37645 units, Supplier rating: 3.46"
"INV00000005","2024-05-10",2024,10,"PART000006","Part 6","PC627010","Raw Material","Essential component Part 6","SUP0006","Supplier 6","Chennai","India","2.72","WH06","Warehouse 6","North","Chennai",28007,21658,286,6063,4263,558,31,"701.93","4255801.59",74,"2024-06-11","INV225654","40872.12","Available","2025-02-17","Rack-30","2024-08-23","Stock level: 28007 units, Supplier rating: 2.72"
"INV00000006","2024-05-18",2024,3,"PART000007","Part 7","PC173736","Component","Essential component Part 7","SUP0007","Supplier 7","Kolkata","India","2.45","WH07","Warehouse 7","South","Kolkata",9788,9353,326,109,2918,6651,6,"313.05","34122.45",14,"2024-11-15","INV788030","94939.92","Low Stock","null","Rack-17","2024-01-14","Stock level: 9788 units, Supplier rating: 2.45"
"INV00000007","2024-10-13",2024,5,"PART000008","Part 8","PC339696","Subassembly","Essential component Part 8","SUP0008","Supplier 8","Jaipur","India","2.35","WH08","Warehouse 8","East","Jaipur",44826,2061,448,42317,4487,3728,39,"625.95","26488326.15",90,"2024-03-06","INV745818","10327.64","Out of Stock","2025-02-13","Rack-100","2024-01-07","Stock level: 44826 units, Supplier rating: 2.35"
"INV00000008","2024-02-08",2024,10,"PART000009","Part 9","PC176906","Tool","Essential component Part 9","SUP0009","Supplier 9","Mumbai","India","4.5","WH09","Warehouse 9","West","Mumbai",18255,632,408,17215,3994,11763,8,"124.72","2147054.8",28,"2024-07-20","INV713948","7545.1","Discontinued","null","Rack-59","2024-12-24","Stock level: 18255 units, Supplier rating: 4.5"
"INV00000009","2024-11-18",2024,3,"PART000010","Part 10","PC723374","Packaging","Essential component Part 10","SUP0010","Supplier 10","Delhi","India","3.62","WH10","Warehouse 10","Central","Delhi",38521,22470,385,15666,2659,740,36,"68.77","1077350.82",32,"2024-05-11","INV213466","2988.24","On Order","null","Rack-71","2024-10-08","Stock level: 38521 units, Supplier rating: 3.62"
"INV00000010","2024-07-12",2024,1,"PART000011","Part 11","PC910874","Raw Material","Essential component Part 11","SUP0011","Supplier 11","Bangalore","India","3.23","WH01","Warehouse 1","North","Bangalore",19101,17366,372,1363,504,10408,40,"375.1","511261.3",53,"2024-02-27","INV134343","80627.43","Available","null","Rack-40","2024-05-19","Stock level: 19101 units, Supplier rating: 3.23"
"INV00000011","2024-01-17",2024,11,"PART000012","Part 12","PC193747","Component","Essential component Part 12","SUP0012","Supplier 12","Pune","India","3.6","WH02","Warehouse 2","South","Pune",45893,4785,333,40775,3320,4881,56,"899.05","36658763.75",50,"2024-09-11","INV886939","87389.28","Low Stock","null","Rack-19","2024-08-10","Stock level: 45893 units, Supplier rating: 3.6"
"INV00000012","2024-11-22",2024,11,"PART000013","Part 13","PC209464","Subassembly","Essential component Part 13","SUP0013","Supplier 13","Hyderabad","India","3.07","WH03","Warehouse 3","East","Hyderabad",43332,31374,10,11948,2721,15992,34,"839.45","10029748.6",59,"2024-08-08","INV647609","55718.98","Out of Stock","null","Rack-63","2024-02-20","Stock level: 43332 units, Supplier rating: 3.07"
"INV00000013","2024-08-20",2024,10,"PART000014","Part 14","PC845872","Tool","Essential component Part 14","SUP0014","Supplier 14","Chennai","India","4.41","WH04","Warehouse 4","West","Chennai",204,166,317,-279,3688,4367,46,"723.95","-201982.05",55,"2024-01-17","INV412214","86953.25","Discontinued","null","Rack-50","2024-04-26","Stock level: 204 units, Supplier rating: 4.41"
"INV00000014","2024-10-15",2024,7,"PART000015","Part 15","PC191190","Packaging","Essential component Part 15","SUP0015","Supplier 15","Kolkata","India","2.83","WH05","Warehouse 5","Central","Kolkata",13242,12071,160,1011,4227,13155,17,"335.48","339170.28",84,"2024-11-28","INV226782","27068.06","On Order","2025-07-19","Rack-4","2024-01-18","Stock level: 13242 units, Supplier rating: 2.83"
"INV00000015","2024-08-07",2024,8,"PART000016","Part 16","PC438960","Raw Material","Essential component Part 16","SUP0016","Supplier 16","Jaipur","India","4.58","WH06","Warehouse 6","North","Jaipur",14313,11946,340,2027,4731,17120,38,"129.39","262273.53",85,"2024-09-15","INV436451","60892.7","Available","null","Rack-43","2024-06-17","Stock level: 14313 units, Supplier rating: 4.58"
"INV00000016","2024-02-27",2024,5,"PART000017","Part 17","PC204705","Component","Essential component Part 17","SUP0017","Supplier 17","Mumbai","India","3.59","WH07","Warehouse 7","South","Mumbai",1892,1112,108,672,493,8707,40,"860.87","578504.64",7,"2024-07-04","INV173045","37860.03","Low Stock","null","Rack-77","2024-10-08","Stock level: 1892 units, Supplier rating: 3.59"
"INV00000017","2024-07-16",2024,3,"PART000018","Part 18","PC136584","Subassembly","Essential component Part 18","SUP0018","Supplier 18","Delhi","India","4.58","WH08","Warehouse 8","East","Delhi",3349,2650,231,468,1549,9750,42,"900.33","421354.44",86,"2024-05-02","INV957560","25711.33","Out of Stock","2025-04-12","Rack-22","2024-06-19","Stock level: 3349 units, Supplier rating: 4.58"
"INV00000018","2024-06-25",2024,7,"PART000019","Part 19","PC316499","Tool","Essential component Part 19","SUP0019","Supplier 19","Bangalore","India","4.06","WH09","Warehouse 9","West","Bangalore",40151,8444,475,31232,2319,2852,56,"423","13211136",7,"2024-07-22","INV577638","11262.32","Discontinued","null","Rack-6","2024-07-17","Stock level: 40151 units, Supplier rating: 4.06"
"INV00000019","2024-12-22",2024,11,"PART000020","Part 20","PC977195","Packaging","Essential component Part 20","SUP0020","Supplier 20","Pune","India","4.1","WH10","Warehouse 10","Central","Pune",12514,2827,110,9577,3361,8479,41,"500.94","4797502.38",81,"2024-09-25","INV443217","63209.31","On Order","null","Rack-73","2024-11-25","Stock level: 12514 units, Supplier rating: 4.1"
